date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:54	122058/122058	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202021%2015:53:46%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/index.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/index.html	(from )
15:44:55	708/708	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2009:44:55%20GMT	https://tunatheme.com/robots.txt		(from )
15:44:55	14821/14821	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2009:54:44%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/img/favicon.png	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/img/favicon.png	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:56	56964/56964	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Nov%202020%2001:53:22%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/css/font-icons.css	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/css/font-icons.css	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:56	246468/246468	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Oct%202021%2018:21:00%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/css/plugins.css	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/css/plugins.css	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:56	312991/312991	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Oct%202021%2018:20:06%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/css/style.css	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/css/style.css	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:56	1611/1611	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Dec%202020%2009:02:34%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/css/responsive.css	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/css/responsive.css	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:57	54591/54591	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jan%202021%2010:59:12%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/locations.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/locations.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:57	1622/1622	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Dec%202020%2019:13:46%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/img/logo.png	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/img/logo.png	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:57	96239/96239	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202021%2015:54:32%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/index-2.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/index-2.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:57	129341/129341	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202021%2015:54:38%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/index-3.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/index-3.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:58	80179/80179	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202021%2015:54:44%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/index-4.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/index-4.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:58	122187/122187	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202021%2015:54:50%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/index-5.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/index-5.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:58	97903/97903	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202021%2015:54:54%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/index-6.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/index-6.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:58	127520/127520	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202021%2015:55:00%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/index-7.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/index-7.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:59	133516/133516	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202021%2015:55:06%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/index-8.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/index-8.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:59	55193/55193	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202021%2015:55:14%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/about.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/about.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
15:44:59	61507/61507	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jan%202021%2010:59:02%20GMT	https://tunatheme.com/tf/html/arowana-preview/arowana/faq.html	C:/My%20Web%20Sites/arom4/tunatheme.com/tf/html/arowana-preview/arowana/faq.html	(from https://tunatheme.com/tf/html/arowana-preview/arowana/index.html)
